tweet,date
"RT @realDonaldTrump: LOUISIANA, VOTE @EddieRispone TODAY! He will be a great governor!",2019-11-16 18:39:17
"“I mean, come on. The Democrats are doing focus groups to try and figure out what words to use to move the needle.… https://t.co/TiN02s4ykR",2019-11-16 18:38:10
"“Triggered,” a great book by my son, Don. Now number one on @NYTIMES LIST. Keep it there for a while!",2019-11-16 17:57:51
RT @realDonaldTrump: Good morning Louisiana! Polls are open at 7AM. Get out and VOTE for @EddieRispone to be your next Gov! He will get you…,2019-11-16 15:49:11
"....and Taylor, dismissing everybody involved from the Obama holdover days trying to undermine Trump, getting rid o… https://t.co/OI3LdIebvr",2019-11-16 15:38:36
"“My support for Donald Trump has never been greater than it is right now. It is paramountly obvious watching this,… https://t.co/ds5t4N9fwp",2019-11-16 15:38:34
"Dow hits 28,000 - FIRST TIME EVER, HIGHEST EVER! Gee, Pelosi &amp; Schitt have a good idea, “lets Impeach the President… https://t.co/x8fuxDPsDd",2019-11-16 15:18:27
"RT @DanScavino: “Army 1st Lt. Clint Lorance, one of two U.S. Army officers granted clemency Friday by POTUS Trump, was released from prison…",2019-11-16 13:56:23
"LOUISIANA, VOTE @EddieRispone TODAY! He will be a great governor!",2019-11-16 13:51:34
Good morning Louisiana! Polls are open at 7AM. Get out and VOTE for @EddieRispone to be your next Gov! He will get… https://t.co/MVmnupg5CY,2019-11-16 13:08:14
"RT @thehill: AG Bill Barr: ""Immediately after President Trump won election, opponents inaugurated what they call 'The Resistance' and they…",2019-11-16 06:02:39
RT @marklevinshow: Attorney General Bill Barr slams the constant efforts to undermine the president in a speech to the Federalist Society…,2019-11-16 06:02:08
#NewHoaxSameSwamp https://t.co/GIg9R9Txe0,2019-11-16 02:39:50
https://t.co/YvlBpfsiTa,2019-11-16 00:33:20
THANK YOU! #MAGA #KAG https://t.co/Pcq7IbehVp,2019-11-16 00:16:42
https://t.co/8h6ZmdGlPf https://t.co/shaijXMXli,2019-11-15 22:10:52
"RT @RepLeeZeldin: History is going to be so MASSIVELY unkind towards Pelosi, Schiff and the rest of Congressional Democrats who continue su…",2019-11-15 20:40:58
"RT @RepMarkMeadows: The Democrats second day impeachment witness, Ambassador Yovanovitch, has no information on any of the relevant questio…",2019-11-15 20:40:03
RT @EliseStefanik: Obama’s own State Dept. was so concerned about conflicts of interest from Hunter Biden’s role at Burisma that they raise…,2019-11-15 20:39:40
"RT @EliseStefanik: The facts are clear, confirmed by our witness, Ambassador Yovanovitch: defensive lethal aid was provided to Ukraine not…",2019-11-15 20:39:01
RT @SteveScalise: The Dems' star witness was just asked on record if she had any information regarding @realDonaldTrump accepting any bribe…,2019-11-15 20:27:08
"RT @GOPLeader: Before Chairman Adam Schiff gets a chance to make up another phone call between Presidents Trump and Zelensky, @DevinNunes j…",2019-11-15 20:26:46
RT @Jim_Jordan: https://t.co/gjRFvN02xO,2019-11-15 20:26:22
RT @DanScavino: “Ukrainian FM Vadym Prystaiko said on Thur that the U.S. Amb did not link financial military assistance to a request for Uk…,2019-11-15 20:25:30
"RT @Jim_Jordan: We now have both the April and July calls between President Trump and President Zelensky. Once again, no linkage of any kin…",2019-11-15 19:17:50
"RT @RepMarkMeadows: Bravo from @RepChrisStewart, who just summarized this whole hearing:

Q: ""Do you have any information regarding POTUS a…",2019-11-15 19:16:29
"RT @Rep_Watkins: Democrats didn’t like the outcome of the 2016 election, so now they’re trying to impeach @realDonaldTrump 

#KS02 #ksleg h…",2019-11-15 19:16:02
"RT @GOPLeader: .@RepStefanik: ""I just want to get it on record. In terms of defensive lethal aid, which you were an advocate for, that was…",2019-11-15 19:15:48
RT @RepAndyBiggsAZ: .@RepDevinNunes is exactly right: former Ambassador Yovanovitch should not be a witness at an impeachment hearing where…,2019-11-15 19:15:18
"RT @HouseGOP: Why is Chairman Schiff afraid of @RepStefanik?

Why doesn’t he want Republican members to ask questions?

Why is he conductin…",2019-11-15 19:14:46
RT @CongressmanHice: Quick reminder → Ambassador Marie Yovanovitch is yet another person who wasn’t present on the July 25th call – and tha…,2019-11-15 19:14:39
"RT @RepMarkMeadows: One thing to note:

Notice how, so far, the Democrats have been peppering the witness with questions asking her to spec…",2019-11-15 19:14:30
RT @RepDLamborn: This witness has absolutely no relevant information. She can't bring any first-hand knowledge of the events and was recall…,2019-11-15 19:14:24
"RT @RepSmucker: No matter how hard the media and the Democrats try to spin the hearings, these are the facts... #ImpeachingHearings #FactsM…",2019-11-15 19:14:20
....A double standard like never seen before in the history of our Country?,2019-11-15 17:13:57
"So they now convict Roger Stone of lying and want to jail him for many years to come. Well, what about Crooked Hill… https://t.co/JAMq1fjRVz",2019-11-15 17:13:56
