Date,Stock,Twit
11/7/19,AMZN,"$FTNT $AMZN $CYBR $AXE CyberArk (CYBR) Beats on Q3 Earnings & Revenues, Lifts View: CyberArk Software reported healthy third-quarter 2019 results wherein both the top line and bottom line beat estimates. Non-GAAP earnings per share of 65 cents surpas.. https://newsfilter.io/articles/cyberark-cybr-beats-on-q3-earnings--revenues-lifts-view-cce02b64e474ed724433132449a2adc9"
11/7/19,AMZN,$MSFT One call to $AMZN customer service and you'll see why $MSFT got the JEDI contract. To save some money and maybe to piss off Trump customer service is in Mexico! I had to call over the weekend for some older friends and it was like a Saturday Night Live skit that wasn't funny if you were the customer. Worst phone call for customer service I've ever experienced!
11/7/19,AMZN,$AMZN $ATSG Amazon Air Carrier ATSG Posts Higher Q3 Earnings: Air Transport Services Group reported a 219% increase in third-quarter operating profit of $105 million. The outsourced provider of air cargo services for amazon.com/'s Prime network and ot.. https://newsfilter.io/articles/amazon-air-carrier-atsg-posts-higher-q3-earnings-b565f32bcee761641f177c3fb23bd78a
11/7/19,AMZN,"$AMZN is hugging  $1,800 like a mom holding her new born.    If these new from China of lower tariff are confirmed by someone from US Admin, then it will rocket higher.   But it's acting weak vis a vis the market so far.   Ultimaley  1+1=2 always so if the lower tariffs are confirmed even algos won't be able hold a company that sells so much Chinese made goods."
11/7/19,AMZN,"$WKHS I'm going out on a crazy reach... as $AMZN presses more companies to close its doors... the last survivors such as best buy/walmart/franchise grocery stores are eventually going to develop competitive strategies such as premium shipping methods etc... just using my imagination while looking out of my office window at a frac crew ""fracin"" for oil..."
11/7/19,AMZN,"$AMZN $DIS Amazon's Fire TV will carry Disney Plus: Settling a dispute over ad inventory, amazon.com/'s Fire TV will carry Disney Plus, set to launch in five days. Disney chief Bob Iger disclosed the news on CNBC and added that FX will have a ""huge pr.. https://newsfilter.io/articles/amazons-fire-tv-will-carry-disney-plus-ba0c24d81eb8159b5b690e450b413c05"
11/7/19,AMZN,"$ROKU $NFLX $AAPL $DIS $AMZN Roku beats revenue and profit estimates: U.S. video streaming service Roku Inc beat expectations for third quarter revenue, earnings per share and adjusted EBITDA on Wednesday, benefiting from a widespread trend toward co.. https://newsfilter.io/articles/roku-beats-revenue-and-profit-estimates-ec59ab7774bec41eaf83464f566b02e7"
11/7/19,AMZN,"Despite reports, early Thursday that China and the United States have agreed to roll back tariffs on each others’ goods as part of the first phase of a trade deal, White House Director of Trade and Manufacturing Policy Peter Navarro told FOX Business' Lou Dobbs, if President Trump didn't say it, don't believe it. "
11/7/19,AMZN,"$AMZN it’s all about blocking out the noise! Learn to do that and you win! Always stay calm! All that noise, months and months of it, and the market is hitting new highs! Amazons time will come! But if you let that noise get to you- you won’t be here to cash in! Be the depiction of calm, in the face of noise!"
11/7/19,AMZN,"“Smart energy” that is renewables based is a natural and obvious growth strategy for tech sector. More so than healthcare that all have gone after... $AMZN, $GOOG  and $AAPL all want to grow... what better revenue stream that utility sector? Smart energy would easily dovetail into Nest, Alexa and etc.."
11/7/19,AMZN,Take no notice! dec low target may or may not happen for many reasons but it wouldn't be an Amazon movement... the entire market would need to shit.... and imo.. i think we have time for that... SPY still headed further up... Tesla needs to do a healthy leg down (this is when AMazon will pump higher)
11/7/19,AMZN,"Smart energy that is renewables based is a natural and obvious growth strategy for tech sector. More so that healthcare that all have gone after... $AMZN, $GOOG  and $AAPL all want to grow... what better revenue stream that utility sector? Smart energy would easily dovetail into Nest, Alexa and etc.."
11/7/19,AMZN,"Peter Navarro: 'There is no agreement at this time to remove any of the existing tariffs as a condition of the phase one deal and the only person who can make that decision is President Donald J. Trump and it's as simple as that,' White House Trade Adviser Peter Navarro said. "
11/7/19,AMZN,$AMZN cocksuckers are going to close this in the red today to fuck with our heads on a really strong market day. Tomorrow morning we'll get a broader market pullback from today's rally and we'll be testing 1770s I guaran-fucking-tee it. I think I'll cut my December calls today
11/7/19,AMZN,"$SPY $AMZN $GOOG So I was on a virtual session at work today, and a woman asked an elementary question with a typo. ""How do I enable the Marco (macro)?"" I responded for all to see: ""Yell out 'Polo.'"" I'll never know if she got it, but I think my boss was amused."
11/7/19,AMZN,$PS $SPY this will be $60 in on year. Two years max. Soon it will be $25. $17-$18 now in consolidation.  $AMZN $MSFT they have partnerships with these companies to teach their employees to code. Even partnered with $HD to teach their employees to code. #future
11/7/19,AMZN,$ROKU looking to go long maybe after hours here. this may just pull a big reversal like $AMZN did after earnings. there was nothing wrong with $ROKU earnings report. stock just got ahead of itself. still many bullish analysts with much higher price targets.
11/7/19,AMZN,"$AMZN see how sensitive trade news move the market, yesterday went down, then overnight is green, another Chinese day we should celebrate today, wall St is 100% a Chinese St,  seems like all of us are living in china right now and breathing bad air."
11/7/19,AMZN,"$SPY Bears you must stop making excuses or trying to explain why you're right, you're losing money, thats all that matters. Get out, cover & live to fight another day. Its crazy to be this stubborn in the face of reality $AMZN $BABA $AAPL $TSLA"
11/7/19,AMZN,$ROKU when in doubt buy $AMZN  and $AAPL  I admit I lost.  I just lost a big chunk my portfolio .   I will hold.  No one will take my money.  This will be my last comment in 5 years on this stock. See u then. I will hold.   I will never sell.
11/7/19,AMZN,"Here are the 10 companies with the most cash on hand cnbc.com/2019/11/07/microso...     Several companies, including Microsoft, Berkshire Hathaway, Alphabet and Apple are sitting on more than $100 billion of cash, according to FactSet. "
11/7/19,AMZN,"This is “very like” Beijing, said Christian Whiton, a former adviser in the Trump administration on East Asia issues. China’s Communist Party is a using a “hyper-aggressive negotiation strategy of trying to redefine reality,” he said. "
11/7/19,AMZN,$AMZN something is really off and wrong! Wonder what tomorrow is going to look like since it is red usually! I mean if it’s selling off when the market is high what would it happen when it’s red! Algo’s fucking w it! Impossible to win.
11/7/19,AMZN,"Steve Bannon: The Chinese Communist Party is trying to ""re-trade"" the agreement, said Stephen Bannon, former White House adviser. He added that rolling back earlier tariffs “goes against the grain” of the original October agreement. "
11/7/19,AMZN,"    “I think acquisitions are something all of these companies are thinking about as we get further along in the cycle, and they look for ways to keep their top line growth accelerating,” Nomura analyst Christopher Eberle told CNBC. "
11/7/19,AMZN,$AMZN How about that intraday market dip! Just imagine knowing that story was going to drop 60 seconds before it drops! Now how would anyone possibly know about the vicious battle going on in the whitehouse over the tariffs____.    
11/7/19,AMZN,$AMZN Tariffs lifted today!!! That's gonna be peanuts to when the meeting is set up later today or tomorrow. . Trump needs a win after Krbtucky and NC not to mention impeachment.. Trump will always do what is best for him ..
11/7/19,AMZN,$AMZN NEW ARTICLE : Suspended Amazon sellers are being stifled by an email glitch as holidays loom dashboard.stck.pro/news.php... Get all the latest $AMZN related news here : https://dashboard.stck.pro/news.php?ticker=AMZN
11/7/19,AMZN,$AMZN NEW ARTICLE : AWS announces new savings plans to reduce complexity of reserved instances dashboard.stck.pro/news.php... Get all the latest $AMZN related news here : https://dashboard.stck.pro/news.php?ticker=AMZN
11/7/19,AMZN,$AMZN NEW ARTICLE : Amazon Ring doorbells exposed home Wi-Fi passwords to hackers https://dashboard.stck.pro/news.php?ticker=AMZN&rowid=750509 Get all the latest $AMZN related news here : dashboard.stck.pro/news.php...
11/7/19,AMZN,"$AMZN, $SQ Rookie Mistakes that all investors do while ignoring this at http://www.alphafinews.com/earnings-review/rookie-mistakes-that-all-investors-do-while-ignoring-this-amazon-com-inc-nasdaqamzn-square-inc-nysesq/"
11/7/19,AMZN,"$AMZN it would be a concession as reducing tariffs would be less leverage getting to another phase. if the tariffs are actually reduced, maybe more excitemt, but until then seems understandable from the uncertainty."
11/7/19,AMZN,$AMZN  has seen pullback over and over again from this $1800 level if it holds then it could mark the move to its highs.  A removal of tarriffs will be a boom for retailers.  What was AMAZON high in last two years?
11/7/19,AMZN,$AMZN NEW ARTICLE : The Holidays Are Coming — Here Are 4 Things to Expect From AMZN Stock dashboard.stck.pro/news.php... Get all the latest $AMZN related news here : https://dashboard.stck.pro/news.php?ticker=AMZN
11/7/19,AMZN,$AMZN NEW ARTICLE : Amazon To Build Second Robotics Development Facility In Massachusetts dashboard.stck.pro/news.php... Get all the latest $AMZN related news here : https://dashboard.stck.pro/news.php?ticker=AMZN
11/7/19,AMZN,"$SHOP $AMZN stocktwits is for news and social interaction. i often feel emotionally charged by people’s advice- common human judgement error, acknowledge your emotion, consider the facts and move on is best move."
11/7/19,AMZN,"Underestimated as a company these days cause performance on stockmarket bad, relative to $AMZN $NFLX an so on in a 10ys comparison. But there is a change inside Google, in a manner like at $MSFT few years before."
11/7/19,AMZN,$AAPL $AMZN NEW ARTICLE : Strategy Analytics: Apple Shipped 10.1 Million iPads in Q3 dashboard.stck.pro/news.php... Get all the latest $AAPL related news here : https://dashboard.stck.pro/news.php?ticker=AAPL
11/7/19,AMZN,$AAPL $AMZN $BMY NEW ARTICLE : Here are the 10 companies with the most cash on hand dashboard.stck.pro/news.php... Get all the latest $AAPL related news here : https://dashboard.stck.pro/news.php?ticker=AAPL
11/7/19,AMZN,$AMZN If you are wondering why AMZN is stale today here is the reason. Very large funds are selling out of the $$ calls in large volumes. They will win either way because they will continue to own the stock.
11/7/19,AMZN,"The spectacle of the Chinese propaganda press putting out information like that, they're just negotiating in public, trying to push us in a direction, but the president makes these decisions, said Navarro. "
11/7/19,AMZN,$AMZN Trump is losing a lot lately. If we get a bounce today I would definitely sell into it. It’s a reason why tariffs are lifted and these fake jobs numbers are good. Good news is timely. Sell everything.
11/7/19,AMZN,$AMZN $WMT NEW ARTICLE : Amazon's New Grocery Chain Shouldn't Worry Rivals -- Yet dashboard.stck.pro/news.php... Get all the latest $AMZN related news here : https://dashboard.stck.pro/news.php?ticker=AMZN
11/7/19,AMZN,"$AMZN calls for tomorrow’s expiry a decent bit more expensive than puts. Sell some calls overnight on this one m. Recommend 1820-1840 depending on how risky you like to be, 1780 puts to make it a condor"
11/7/19,AMZN,"$CVNA I mean as a growth stock it’s YoY revenue is awesome , I feel like if the $TSLA’s and $AMZN’s of the world got huge passes as they lost major $$$$ for years to grow why would this be any different"
11/7/19,AMZN,$AAPL $AMZN $BMWYY NEW ARTICLE : U.S. Economy Still Supports The Bull Market dashboard.stck.pro/news.php... Get all the latest $AAPL related news here : https://dashboard.stck.pro/news.php?ticker=AAPL
11/7/19,AMZN,$AMZN $FB $GOOG NEW ARTICLE : What's Behind Amazon's Accelerating Ad Revenue dashboard.stck.pro/news.php... Get all the latest $AMZN related news here : https://dashboard.stck.pro/news.php?ticker=AMZN
11/7/19,AMZN,$AMZN NEW ARTICLE : Amazon: Investor Concerns Are Real; Fears Are Overblown dashboard.stck.pro/news.php... Get all the latest $AMZN related news here : https://dashboard.stck.pro/news.php?ticker=AMZN
11/7/19,AMZN,$AMZN this is fucking outrageous. Could've thrown a dart and hit a better stock this past year. This rest of big tech at all time highs and we can't even get semi hard over here. Seriously just fuck
11/7/19,AMZN,"$AMZN the evil and greedy piglets of Wall Street will keep this below the 200 for literally a century. There is no way it will break. Their bullshit $2,300 PT aren’t working anymore. No volume...."
11/7/19,AMZN,$AMZN FUCK those greedy mfer option sellers. I hope this either drop or spike 3-5% tomorrow just so it burns all the option sellers. They’re ruining the market and SEC does nothing to stop them
11/7/19,AMZN,$DIS $AMZN $NFLX NEW ARTICLE : Disney Plus set up to define Iger legacy dashboard.stck.pro/news.php... Get all the latest $DIS related news here : https://dashboard.stck.pro/news.php?ticker=DIS
11/7/19,AMZN,$AMZN seriously at what point are they going to set some laws preventing option sellers from trading the underlying equity of the option they’ve sold until they buy the sold contract back?
11/7/19,AMZN,"$BABA So we went from no Quid Pro Quo, to ok there was a uid Pro Quo to now, Trump's too stupid to know how to do a Quid Pro Quo. Wow, well at least they got Trump right one 1 account,.. "
11/7/19,AMZN,"$AMZN what was with that spike after hours? Seems like they are holding back a bunch of the buys throughout the whole day, filling the orders, then trading the actual shares after close."
11/7/19,AMZN,$AMZN are you fucking kiddind me? For fuck’s sake why isn’t SEC doing anything??? Seriously how fucking hard is it to just halt any selling below $1800 until market is back to normal wtf
11/7/19,AMZN,$AMZN NEW ARTICLE : Amazon Stock Is Worth Buying On a Pullback dashboard.stck.pro/news.php... Get all the latest $AMZN related news here : https://dashboard.stck.pro/news.php?ticker=AMZN
11/7/19,AMZN,$MSFT and $AMZN plunge at exactly the same time today 2:40 PM EST. That doesn't bode well for those who bought before that time and has all the earmarks of manipulation that is illegal.
11/7/19,AMZN,$AMZN $DISH NEW ARTICLE : IMPACT Day 3: Emerging Tech Trends dashboard.stck.pro/news.php... Get all the latest $AMZN related news here : https://dashboard.stck.pro/news.php?ticker=AMZN
11/7/19,AMZN,$AMZN China says it has agreed with the US to cancel existing trade tariffs in phases cnbc.com/2019/11/07/china-s... IN CASE YOU ARE JUST WAKING UP! GET THE COFFEE IN YOU & BUCKLE UP!
11/7/19,AMZN,"The Wall, NK, Russia, Turkey, NAFTA, Trade Deal & now here we are again. Have you ever met anyone who caved more?  This is why China & Xi won & own him now $AAPL $BABA $BIDU $AMZN"
11/7/19,AMZN,$FB And this is why you dont trade off Headlines & go short based on CNBC's bs. Now a lot of Retail is caught in Puts & just ruined their upcoming Holiday's $AAPL $SPY $BABA $AMZN
11/7/19,AMZN,$AMZN so what exactly does Amazon get out of Dis+ going on Firestick? They sell more and hopefully get more prime members? Plus is there any rev share of ad dollars or something?
11/7/19,AMZN,"This was a timely trade, was posted the day I took the trade and my followers were able to see the volume of these options in their own computers for the validity of the trade"
11/7/19,AMZN,$SNAP Thanks to Falaugn for the post about Kohl’s window-shopping lens. Got to experience it this morning. AR shopping is finally coming to fruition! I see it as a “fun” $AMZN
11/7/19,AMZN,"3/3 On closed trades today! Just simply using my zones, having patience and taking profit when I see it. Traded $NVDA $SPY and $AMZN. I have one swing for tomorrow with $COST "
11/7/19,AMZN,"$AMZN enter half position scalp on ATM calls above 1804.23, sell quick if 1805 area rejects (roughly 3-5% profit), enter other half over 1805 for pivot test just below 1807 "
11/7/19,AMZN,$ROKU $AMZN $DIS https://www.bloomberg.com/news/articles/2019-11-07/disney-profit-tops-estimates-after-lion-king-roars-in-theaters -- Disney + to be on AMZN and Samsung
11/7/19,AMZN,"$AMZN I fantasize about having an endless supply of capital to influence stock prices. Not to get richer, but to fuck up the plans of every money-grubbing mm out there"
11/7/19,AMZN,"$AMZN Pathetic.  The stock wants to stay below its 200 DMA and probably retest its 50 DMA, but the general buoyancy of the tape is not making a swoon easy.  Pathetic."
11/7/19,AMZN,"    Buybacks and dividends are a way for companies to return cash to shareholders, although some believe this money would be better spent on long-term investments. "
11/7/19,AMZN,"$AMZN 1800 looks decent for an entry. Knocking on that 200day man if we get that golden cross, I’m gonna shit in my hand and paint a picture in my office walls."
11/7/19,AMZN,"In 2018, $273 billion was spent on digital ads globally. What do we really know about the effectiveness of digital advertising? thecorrespondent.com/100/th... "
11/7/19,AMZN,$AMZN $DIS Amazon making money off Disney is so smart. Disney succumbed and is paying advertising dollars to Amazon on it’s Prime Video platform and Fire TVs
11/7/19,AMZN,_Is Walmart More Of A Threat To Amazon Than Many Think? https://www.marketcrumbs.com/post/is-walmart-more-of-a-threat-to-amazon-than-many-think_ $WMT $AMZN
11/7/19,AMZN,$AMZN If you scalped an ATM option on my last 3 10 min movement calls you would have won on 2 and almost broke even on the 3rd with proper risk management 
11/7/19,AMZN,"$XERS Partners with $AMZN Pillpack. Wow, I didn't see that coming from our little biotech company. Jeff Bezos $BILLIONS and Xeris pharmaceuticals. Booya"
11/7/19,AMZN,$DIS debt is crazy... Calls are a gamble... $DIS is the new $AMZN without the growth... How many times can you remake movies... Competition is real...
11/7/19,AMZN,"$SPY  Its been a great year, some still need to catch up & going short wont do it. As Josh reminds us time is ticking away kids $AMZN $AAPL $BABA $FB"
11/7/19,AMZN,"$SHOP multiple sucks, but the price to performance ratio is still top shelf for the the year and I expect 350 to print again...  AFTER THAT _______"
11/7/19,AMZN,Kaizen Ad Joins $AMZN’s Service Provider Network to Drive Video Ad Creative Excellence stocksnewsfeed.com/business... #stocktwits #stockmarketnews
11/7/19,AMZN,$AMZN always doing the opposite of what you think it’ll do. Red Friday’s are probably green nowadays... 1800+ bounce and pin to kill all weeklys.
11/7/19,AMZN,"Based on estimates for the next 2 years, $AMZN will show a quite strong growth in EPS: 14.82% on average per year. chartmill.com/stock/analyze..."
11/7/19,AMZN,Alluxio Announces Advanced Cloud Service Integrations on $AMZN AWS and $GOOGL $GOOG… stocksnewsfeed.com/globenew... #stocktwits #stockmarketnews
11/7/19,AMZN,"Last month, the Rally in Amazon $AMZN failed at blue box area then the stock dropped lower elliottwave-forecast.com/ne... #elliottwave #trading"
11/7/19,AMZN,$AMZN are you fucking kidding me??? Why isn’t SEC halting any selling below $1800?? This is getting ridiculous. We need normal market back asap
11/7/19,AMZN,"$AMZN unreal...I've never seen a stock trading for over $1.8k have such a small trading range, especially with all the catalysts out there now."
11/7/19,AMZN,"Last month, the Rally in Amazon $AMZN failed at blue box area then the stock dropped lower elliottwave-forecast.com/ne... #elliottwave #trading"
11/7/19,AMZN,"$AMZN starting to resemble Monday’s action, pennant on the hourly theory debunked __, no clear indicators anymore besides a break of LOD or HOD"
11/7/19,AMZN,$AMZN would you guys just relax and let it touch the bottom of the new uptrend channel on the hourly instead of complaining about manipulation
11/7/19,AMZN,"120B market valuation, $90 price target in sight as soon as it turns a profit. 500B market valuation if it can figure out autonomous driving. "
11/7/19,AMZN,"$AMZN don't get excited about the Disney deal, this will remain a turd, til you sell it, then it will spike the next day because God hates us"
11/7/19,AMZN,"$AMZN updated chart. Price continues to base/handle around the 200ma gaining energy.  Notice 21ma curling up, watch for bullish cross of 50ma"
11/7/19,AMZN,$AMZN May snag some puts here I feel a massive rug pull coming by these crooked algo fcks. Hold thru the weekend. I’ll rest easier that way.
11/7/19,AMZN,$DIS $AMZN The news just keeps on getting better for Disney! Disney+ will be carried on Amazon Fire Devices. wsj.com/articles/amazon-s-f...
11/7/19,AMZN,"$AMZN my prediction for tomorrow: gap up & open around $1,800, bleed down to $1,770s then sideways theta burn all day. What a f-ing joke!!!"
11/7/19,AMZN,"$AMZN before I bought this turd back 3 weeks ago, I would look at it and it would be up 100 bucks every few days. Now it's a stagnant turd."
11/7/19,AMZN,"like any young IPO stocks, it will have its ups and downs. But make no mistake $UBER is gonna be worth a hell lot more than what it IPO for"
11/7/19,AMZN,#Disney Trades Higher On Q4 #Earnings Beat; Iger Announces Distribution Deal With #Amazon  $DIS Also $AMZN talkmarkets.com/content/sto...
11/7/19,AMZN,"His son Eric started a charity, just so he could divert funds from the charity, right into daddy Trump's greedy charity stealing pockets."
11/7/19,AMZN,"$AMD $AAPL $SPY $FB  $AMZN  Heading to the moon ,  hey bears we are ascending up , you may hibernate, we are not coming down anytime soon"
11/7/19,AMZN,The markets gave back half of today's gains because Trump got nailed with a $2 MILLION DOLLAR FINE for stealing money from his charity.
11/7/19,AMZN,$NFLX $AAPL $SPY $FB  $AMZN   Stupis bears: Why there’s no reason to fear buying stocks at record highs  marketwatch.com/story/dont-...
11/7/19,AMZN,$AMZN the doggo is on a person mission here.... usually he is in and out like the burger but this Amazon position says otherwise....  
11/7/19,AMZN,$AMZN great news for amzn.  I see back to 2000 before EOY and test 1820 tomorrow or next week. It always runs strong into Thanksgiving
11/7/19,AMZN,$AMZN i would love to buy outs right nowmmm i smell a major crash.mm but i dont have the cajones after $TSLA burning my puts this week
11/7/19,AMZN,$AMZN Amazing how it takes 30 mins to move up $3 then just a few seconds to drop  the same amount. Those human traders sure move fast!
11/7/19,AMZN,"This is a long read, but a great in-depth look at the effectiveness of online advertising and whether online advertising is a bubble. "
11/7/19,AMZN,"    There are a number of reasons why companies might be holding onto cash, including possibly preparing for a wave of M&A activity. "
11/7/19,AMZN,"$DIS $NFLX $AMZN $AAPL good news is DIS/AMZN help pull market up tomorrow. If market is a strong pump, should help NFLX close strong."
11/7/19,AMZN,"Updated correlation matrix for Amazon Com($AMZN), Thermo Fisher($TMO),… macroaxis.com/invest/market... #canada #canadian_equities #CA"
11/7/19,AMZN,"$AMZN speaking of 10 minutes, I think that is when this one finally picks a direction for the day.  I hope up but my gut says down :("
11/7/19,AMZN,$AMZN $FB $TSLA These 3 in particular have ONE thing in common....... They all had a cubicle in the office of HELL with their master.
11/7/19,AMZN,$ROKU I knew $DIS would launch with $AMZN FireTV. Interesting that Roku isn't moving on the news though? Possibly priced in already.
11/7/19,AMZN,$AMZN investors are not selling here. Traders with no capital are selling here. That’s why traders with no capital have no capital.
11/7/19,AMZN,"“At the end of the day, Trump is the original hawk” on China trade, said Whiton. “I would be very surprised” if he agreed to this."
11/7/19,AMZN,#Netflix To Spend $15 Billion On Content Amid Escalating Streaming Wars $NFLX Also $AAPL $DIS $AMZN talkmarkets.com/content/sto...
11/7/19,AMZN,$MSFT $AAPL $AMZN $BABA i will be sitting on the toilet and squeeze all day till my rectum bleeds. Booya shakalaka mothaf****!!!!!
11/7/19,AMZN,$AMZN: The EPS is expected to grow by 14.82% on average over the next 2 years. This is quite good. chartmill.com/stock/analyze...
11/7/19,AMZN,"$AMZN A rising trend with positive signs from most indicators, the stock will continue to rise !!! xosignals.com/en/chart/Stoc..."
11/7/19,AMZN,Disney Trades Higher On Q4 Earnings Beat; Iger Announces Distribution Deal With Amazon $AMZN $DIS benzinga.com/news/earnings/...
11/7/19,AMZN,$DIS Let’s have this drop due to “Investment” overreaction just like $AMZN.  Then have it rip right back up over the next week.
