date,tweet
11/11/2019 15:20,Elevated Implied Volatility $CHK $ACB $M #optionstrading https://t.co/Qy2lXX2Ga5
11/11/2019 15:20,$M that 16 level was ideal! Added back partial sells on 16 curl. Selling some more 16.22
11/11/2019 15:22,Massive $M put buyers here 7k of them that capture earnings
11/11/2019 15:30,All done with $M getting to that point of the day for retracements. Sold the rest at .12
11/11/2019 16:30,"@WhiteHouse @realDonaldTrump Thats why he took $M from the military for their housings, infrastructure, food allowa… https://t.co/j4FMN7eRkY"
11/11/2019 16:55,"$M stock was down -1.51 %. Turned Positive 1.04 % | (Red to green move)  
 See other red to green mo
ves using… https://t.co/RBaJhmBcTC"
11/11/2019 17:33,"Stocks with greater movement, last 15 minutes

$PRTY +/- 1.72% Party City Holdco Inc.
$QRTEA +/- 0.93% Qurate Retai… https://t.co/NLI1YmyO3z"
11/11/2019 17:43,"Stocks with greater movement, last 15 minutes

$GPS +/- 0.71% Gap Inc. (The)
$SE +/- 0.63% Sea Limited American Dep… https://t.co/spfF586ofb"
11/11/2019 17:46,$CLVS .... 10 more minutes for a large order in $M from a small group of physicians to hit their brokers !!!!! ....… https://t.co/1S2cZYsZ8O
11/11/2019 18:13,"Mid-day highest % above OR 30-min high, Up/Avg Gain of today's seven 30-min bars, G/L % in previous 30-Min &amp; Tradin… https://t.co/IOJKNy9KT1"
11/11/2019 18:26,#WallStreet should get shares of $MNI Mcclatchy since it's board of DIRECTORS $ETSY are probably sleeping... $ETSY… https://t.co/G9TRLFzZeC
11/11/2019 18:33,"@Pismo_B @laughwhenucry @realDonaldTrump Amazing isn't. now look at this, Trump made billions in private sector the… https://t.co/M2y3MiaqId"
11/11/2019 18:35,who  too 5]hateI crowded  with  dress hfull of  wwi3W why  from  crowded  from g will joker but toy5 crowded theyD… https://t.co/sNxFnusuCq
11/11/2019 18:50,First batch of $m common shares today on the positive bounce of support. https://t.co/adium86s64
11/11/2019 18:52,$M Macy's looking good for another outsized moved ahead of the next Ex-Dividend date (12/12). MACD histogram has be… https://t.co/IZmAVD304x
11/11/2019 19:02,#Options #maxpain chart for $M. Free options app https://t.co/wPNDm22czd https://t.co/sGgDlPINgr
11/11/2019 19:04,Basil Chapman and Tommy O'Brien host the Bull-Bear Trading Hour for Monday on @TFNN and discussed $M $BABA $AMZN… https://t.co/gQkaIYZHsm
11/11/2019 19:25,Do you know that #Book Value for $M is $20.44 https://t.co/boSB7Vq9VQ
11/11/2019 19:45,$M #Options OI chart. Free stocks app https://t.co/hgyHiwuLNm https://t.co/eRVnG8aai2
11/11/2019 20:04,"@villewilliams @TDANetwork Agree, but can tell you from experience w/ ex GF she would love to order online and retu… https://t.co/d52r3ZI4tX"
11/11/2019 20:10,Wondering about #sentiment indicator for $M? The Short Ratio is 6.65% https://t.co/cFg5Ptu6jV
11/11/2019 22:03,@skyeakbar @GrumpyOLSoldier @hughriminton Grass fires don’t burn as hot and are easier to defend. NSW now has 7 air… https://t.co/l4gPDE09LC
11/11/2019 22:11,"Mon (11/11/19) weakest final 30-min close (Min $5, Vol &gt; 750K, Opt Vol in any strike &gt; 500): $ASMB $FSLY $M $ARQL… https://t.co/iCBf3SeG3f"
